tipo_registro,data_pregao,cod_bdi,cod_negociacao,tipo_mercado,nome_empresa,especificacao_papel,prazo_dias_merc_termo,moeda_referencia,preco_abertura,preco_maximo,preco_minimo,preco_medio,preco_ultimo_negocio,preco_melhor_oferta_compra,preco_melhor_oferta_venda,numero_negocios,quantidade_papeis_negociados,volume_total_negociado,preco_exercicio,indicador_correcao_precos,data_vencimento,fator_cotacao,preco_exercicio_pontos,codigo_isin,num_distribuicao_papel
1,2020-01-02,2.0,PETR4,10,PETROBRAS,PN  EJ  N2,,R$,30.51,30.7,30.31,30.57,30.7,30.69,30.7,64405.0,37774500.0,1154777493.0,0.0,0.0,99991231.0,1.0,0.0,BRPETRACNPR6,196.0
1,2020-01-03,2.0,PETR4,10,PETROBRAS,PN  EJ  N2,,R$,30.88,31.24,30.45,30.78,30.45,30.45,30.5,62969.0,71595600.0,2204408350.0,0.0,0.0,99991231.0,1.0,0.0,BRPETRACNPR6,196.0
1,2020-01-06,2.0,PETR4,10,PETROBRAS,PN  EJ  N2,,R$,30.43,30.94,29.95,30.71,30.81,30.8,30.81,431.0,81844000.0,2513704170.0,0.0,0.0,99991231.0,1.0,0.0,BRPETRACNPR6,196.0
1,2020-01-07,2.0,PETR4,10,PETROBRAS,PN  EJ  N2,,R$,30.82,30.88,30.47,30.65,30.69,30.68,30.69,45841.0,32822000.0,1006115924.0,0.0,0.0,99991231.0,1.0,0.0,BRPETRACNPR6,196.0
1,2020-01-08,2.0,PETR4,10,PETROBRAS,PN  EJ  N2,,R$,30.69,30.77,30.24,30.48,30.5,30.47,30.5,54347.0,48215600.0,1469849247.0,0.0,0.0,99991231.0,1.0,0.0,BRPETRACNPR6,196.0
1,2020-01-09,2.0,PETR4,10,PETROBRAS,PN  EJ  N2,,R$,30.47,30.62,30.25,30.42,30.4,30.39,30.4,61732.0,36102700.0,1098306380.0,0.0,0.0,99991231.0,1.0,0.0,BRPETRACNPR6,196.0
1,2020-01-10,2.0,PETR4,10,PETROBRAS,PN      N2,,R$,30.39,30.44,30.13,30.31,30.27,30.26,30.27,28206.0,25397500.0,769809370.0,0.0,0.0,99991231.0,1.0,0.0,BRPETRACNPR6,196.0
1,2020-01-13,2.0,PETR4,10,PETROBRAS,PN      N2,,R$,30.35,30.43,30.21,30.32,30.33,30.32,30.33,42071.0,30676800.0,930388940.0,0.0,0.0,99991231.0,1.0,0.0,BRPETRACNPR6,196.0
1,2020-01-14,2.0,PETR4,10,PETROBRAS,PN      N2,,R$,30.23,30.27,29.77,29.98,30.0,29.99,30.0,70173.0,39796500.0,1193480941.0,0.0,0.0,99991231.0,1.0,0.0,BRPETRACNPR6,196.0
1,2020-01-15,2.0,PETR4,10,PETROBRAS,PN      N2,,R$,29.9,29.93,29.54,29.67,29.55,29.55,29.56,54178.0,34405700.0,1021085805.0,0.0,0.0,99991231.0,1.0,0.0,BRPETRACNPR6,196.0
1,2020-01-16,2.0,PETR4,10,PETROBRAS,PN      N2,,R$,29.6,29.7,29.33,29.48,29.52,29.5,29.52,47747.0,28997400.0,854981650.0,0.0,0.0,99991231.0,1.0,0.0,BRPETRACNPR6,196.0
1,2020-01-17,2.0,PETR4,10,PETROBRAS,PN      N2,,R$,29.72,29.85,29.54,29.68,29.85,29.82,29.85,51770.0,34908000.0,1036358681.0,0.0,0.0,99991231.0,1.0,0.0,BRPETRACNPR6,196.0
1,2020-01-20,2.0,PETR4,10,PETROBRAS,PN      N2,,R$,29.7,30.1,29.65,29.97,30.0,29.99,30.0,37165.0,31241400.0,936421997.0,0.0,0.0,99991231.0,1.0,0.0,BRPETRACNPR6,196.0
1,2020-01-21,2.0,PETR4,10,PETROBRAS,PN      N2,,R$,29.8,29.94,29.55,29.67,29.62,29.62,29.63,49105.0,28577400.0,848043297.0,0.0,0.0,99991231.0,1.0,0.0,BRPETRACNPR6,196.0
